91.9,3.71,100.82,1.05,299.2,42.6,0
91.9,3.71,100.82,1.05,299.2,42.6,0
91.9,3.71,100.82,1.05,299.2,42.6,0
91.9,3.71,100.82,1.05,299.2,42.6,0
87.56,0.81,89.65,1.23,344.3,39.1,0
87.56,0.81,89.65,1.23,344.3,39.1,0
87.56,0.81,89.65,1.23,344.3,39.1,0
87.56,0.81,89.65,1.23,344.3,39.1,0
67,9.9,81.62,1.35,1722,7.28,0.03
67,9.9,81.62,1.35,1722,7.28,0.03
67,9.9,81.62,1.35,1722,7.28,0.03
67,9.9,81.62,1.35,1722,7.28,0.03
28.21,13.42,116.4,1.59,1121,-13.5,0
28.21,13.42,116.4,1.59,1121,-13.5,0
28.21,13.42,116.4,1.59,1121,-13.5,0
14.52,3.67,111.62,1.6,1148,-8.39,0
14.52,3.67,111.62,1.6,1148,-8.39,0
14.52,3.67,111.62,1.6,1148,-8.39,0
14.52,3.67,111.62,1.6,1148,-8.39,0
32.21,3.43,87.569527,1.166959,474.1,7.26,0.07
32.21,3.43,87.569527,1.166959,474.1,7.26,0.07
32.21,3.43,87.569527,1.166959,474.1,7.26,0.07
32.21,3.43,87.569527,1.166959,474.1,7.26,0.07
39.96,3.72,30.73,1.67,2005,8.42,0.06
39.96,3.72,30.73,1.67,2005,8.42,0.06
39.96,3.72,30.73,1.67,2005,8.42,0.06
39.96,3.72,30.73,1.67,2005,8.42,0.06
26.37,3.66,35.59,1.43,3493,-1.12,0.12
26.37,3.66,35.59,1.43,3493,-1.12,0.12
26.37,3.66,35.59,1.43,3493,-1.12,0.12
26.37,3.66,35.59,1.43,3493,-1.12,0.12
73.36,12.84,86.95,2.01,2.07,4.63,0.19
73.36,12.84,86.95,2.01,2.07,4.63,0.19
73.36,12.84,86.95,2.01,2.07,4.63,0.19
73.36,12.84,86.95,2.01,2.07,4.63,0.19
81.94,7.44,40.66,2.15,2.09,-5.17,0.07
81.94,7.44,40.66,2.15,2.09,-5.17,0.07
81.94,7.44,40.66,2.15,2.09,-5.17,0.07
18.93,5.3,104.04,1,314,-23.1,0.31
18.93,5.3,104.04,1,314,-23.1,0.31
18.93,5.3,104.04,1,314,-23.1,0.31
18.93,5.3,104.04,1,314,-23.1,0.31
22.73,4.48,82.52,1.03,495.5,-7.68,0.94
22.73,4.48,82.52,1.03,495.5,-7.68,0.94
22.73,4.48,82.52,1.03,495.5,-7.68,0.94
22.73,4.48,82.52,1.03,495.5,-7.68,0.94
18.76,4.61,90.32,1.05,1110,-13.5,0.67
18.76,4.61,90.32,1.05,1110,-13.5,0.67
18.76,4.61,90.32,1.05,1110,-13.5,0.67
18.76,4.61,90.32,1.05,1110,-13.5,0.67
73.526447,3.310921,87.569527,1.166959,356.8,-3.15,0
73.526447,3.310921,87.569527,1.166959,356.8,-3.15,0
73.526447,3.310921,87.569527,1.166959,356.8,-3.15,0
73.526447,3.310921,87.569527,1.166959,356.8,-3.15,0
92.25,0.9,85.5,0.99,270.5,-7.33,0
92.25,0.9,85.5,0.99,270.5,-7.33,0
92.25,0.9,85.5,0.99,270.5,-7.33,0
92.25,0.9,85.5,0.99,270.5,-7.33,0
82.88,0.66,87.17,1.05,959.3,1.28,0.01
